time,count
2019-03-23 09:55:48.148548,5
2019-03-23 09:57:35.796801,17
2019-03-23 10:00:48.745362,10
2019-03-23 10:05:18.597962,12
2019-03-23 10:08:58.017535,12
2019-03-23 10:23:48.363165,10
2019-03-23 10:47:45.466014,9
2019-03-23 11:27:42.756383,32
2019-03-23 12:15:45.151585,1
2019-03-23 12:22:03.645437,27
2019-03-23 15:18:00.773751,46
2019-03-23 15:26:09.479064,31
2019-03-23 15:28:36.637713,11
2019-03-23 15:32:36.983536,4
2019-03-23 16:10:29.053381,13
2019-03-23 16:16:57.665508,23
2019-03-23 16:54:21.057759,31
2019-03-23 16:58:21.386911,14
2019-03-23 17:00:28.277085,15
2019-03-23 17:01:51.106875,19
2019-03-23 17:10:39.315173,20
2019-03-23 17:13:30.005622,67
2019-03-23 17:14:53.003007,40
2019-03-23 17:19:50.055639,5
2019-03-23 17:22:03.431190,23
